child,parent,description
root,,
E,root,E
E183-M-1981,E,444 days : The american hostage story 
E183-W-1985,E,444 days : the hostages remember 
E876-D-1991,E,A very thin line : the Iran-Contra affairs 
E840-A-1989,E,Advise & dissent : memoirs of South Dakota and the U.S. Senate 
E183-N-1983,E,After the Palestine-Israel War : limits to U.S. and Israeli policy 
E183-S-1985,E,All fall down : America's tragic encounter with Iran.
E183-H-1996,E,America and Egypt : from Roosevelt to Eisenhower 
E183-A-1985,E,American hostages in Iran
E183-A-1985,E,American hostages in Iran : the conduct of a crisis 
E183-G-1987,E,American public opinion toward Israel and the Arab-Israeli conflict 
E184-A-1991,E,An ancient heritage :the Arab-American minority 
E340-E-1968,E,Barbary General : the life of William H. Eaton 
E184-O-1988,E,Before the flames : a quest for the history of Arab Americans 
E415-H-1958,E,Born to adventure : the true story of Haji Williamson : sea rover and desert nomad 
E183-S-1985,E,Breaking with Moscow 
E183-A-1995,E,Broken covenant : American foreign policy and the crisis between the U.S. and Israel 
E183-A-1980,E,Bureaucracy and cold war diplomacy : the United States and Turkey
E876-H-1984,E,Caveat : realism
E184-A-1991,E,Children of the roojme : a family's journey 
E335-T-1963,E,Dawn like thunder ; the Barbary wars and the birth of the U.S. Navy 
E183-B-1985,E,Between Washington and Jerusalem : a reporter's notebook 
E183-B-1983,E,Delta force 
E748-H-1993,E,Diplomatic chronicles of the Middle East : a biography of Ambassador Raymond A. Hare 
E183-A-1993,E,Eisenhower and Israel : U.S.-Israeli relations
E840-A-1992,E,General H. Norman Schwarzkopf : the autobiography : it doesn't take a hero 
E183-K-1982,E,Guest of the revolution 
E840-B-1988,E,Guts and glory : the rise and fall of Oliver North 
E183-E-1981,E,Hostage 
E183-E-1988,E,Imagery and ideology in U.S. policy toward Libya
E183-Q-1981,E,Inside and out
E183-Q-1981,E,Inside and out : hostage to Iran
E183-P-1991,E,Iran
E183-G-1983,E,Israel in the mind of America 
E184-G-1997,E,Jewish power : inside the American Jewish establishment 
E876-M-1988,E,Landslide : the unmaking of the president 1984-1988 
E183-P-1989,E,Love from America : a newsman's account of efforts to aid hostages in Tehran 
E876-C-1988,E,Men of zeal : a candid inside story of the Iran-Contra hearings 
E882-G-1992,E,Mr. Bush's war : adventures in the politics of illusion 
E183-S-1989,E,Nasser and American foreign policy
E183-T-1988,E,Nest of spies : America's journey to disaster in Iran 
E183-T-1988,E,Nest of spies : America's journey to disaster in Iran 
E840-A-1984,E,Obbligato
E184-O-1995,E,Occidentalism : images of the West 
E183-F-1983,E,On wings of eagles 
E840-A-1995,E,P.S.
E183-R-1980,E,Paved with good intentions : the American experience and Iran 
E876-L-1988,E,Perilous statecraft : an insider's account of the Iran-Contra affair 
E183-S-1984,E,Pieces of the game : the human drama of Americans held hostage in Iran 
E176-G-1988,E,Presidents of the United States 
E183-M-1997,E,Promised land
E183-H-1998,E,Saudi Arabia and the United States : birth of a security partnership 
E876-S-1988,E,Speaking out : the Reagan presidency from inside the White House 
E183-T-1991,E,Terrorism and democracy 
E183-O-1990,E,The $36 billion bargain : strategy and politics in U.S. assistance to Israel 
E183-E-1985,E,The American house of Saud : the secret petrodollar connection 
E183-S-1984,E,The Armageddon network 
E183-K-1986,E,The Ayatollah in the cathedral 
E183-K-1986,E,The Ayatollah in the Cathedral
E183-A-1982,E,The biggest deal 
E855-B-1979,E,The crises of power : an interpretation of United States foreign policy during the Kissinger Years 
E183-R-1982,E,The destined hour : the hostage crisis and one family's ordeal 
E840-D-1976,E,The dying dollar empire and the U.S. imperialist conspiracies : real reasons behind: the energy crisis
E183-B-1988,E,The eagle and the lion : the tragedy of American-Iranian relations 
E183-C-1970,E,The game of nations ; the amorality of power politics.
E183-K-1990,E,The guts to try : the untold story of the Iran hostage rescue mission by the on-scene desert commander 
E876-S-1988,E,The Iranian triangle : the untold story of Israel's role in the Iran-Contra affair 
E51-H-1958,E,The living races of the Sahara Desert 
E876-F-1987,E,The octopus eagle
E876-F-1987,E,The octopus eagle : an inside account of Iranscam 
E872-P-1984,E,The other side of the story 
E183-B-1992,E,The passionate attachment : America's involvement and Israel
E183-B-1966,E,The prisoners of Algiers : an account of the forgotten American-Algerian war 1785-1797 
E183-B-1966,E,The prisoners of Algiers : an account of the forgotten American - Algerian war
E840-N-1980,E,The real war 
E183-R-1986,E,The Red Army on Pakistan's border : policy implications for the United States 
E184-K-1975,E,The Syrian-Lebanese in America ; a study in religion and assimilation 
E876-U-1987,E,"Report of the President's Special Review Board+""The Tower Commission report : the full text of the President's Special Review Board "
E183-S-1981,E,The United States and the Palestinians 
E183-G-1989,E,The United States and Iran
E183-B-1993,E,The United States and Israel : the limits of the special relationship 
E183-L-1985,E,The United States and Saudi Arabia : ambivalent allies 
E183-T-1951,E,The United States and Turkey and Iran 
E335-C-1971,E,The wars in Barbary ; Arab piracy and the birth of the United States Navy.
E814-C-1990,E,Truman and Israel 
E183-G-1991,E,U.S. foreign policy and the shah : building a client state in Iran 
E183-U-1978,E,U.S. involvement in Iran : Part one
E840-A-1992,E,Under fire : an American story 
E183-B-1970,E,Western window in the Arab world 
E183-R-1987,E,Witness : from the Shah to the secret arms deal : an insider's account of U.S. involvement in Iran 
E840-A-1982,E,Years of upheaval 
E183-L-1992,E,Yellow ribbon : the secret journal of Bruce Laingen 
E269-S-2006,E,Rough crossings : Britain
E842-B-2007,E,Four days in November : the assassination of President John F. Kennedy 
E169-P-2000,E,I'm a stranger here myself : notes on returning to America after twenty years away 
E118-D-2005,E,The last voyage of Columbus : being the epic tale of the great captain's fourth expedition
E99-C-2007,E,House of rain : tracking a vanished civilization across the American Southwest 
E902-H-2002,E,How to build a new Iraq after Saddam 
J,root,J
JC,J,JC
JX,J,JX
JQ,J,JQ
JA,J,JA
JK,J,JK
JS,J,JS
JV,J,JV
JF,J,JF
JZ,J,JZ
JN,J,JN
JP,J,JP
JE,J,JE
JL,J,JL
JJ,J,JJ
JB,J,JB
J?,J,J?
JC328-A-1997,JC,A brutal friendship : the West and the Arab elite 
JX1581-M-1961,JX,A diplomatic history of modern Iraq 
JX1581-M-1961,JX,A diplomatic history of modern Iraq 
JC599-V-1991,JC,A Victory turned sour : human rights in Kuwait since liberation.
JQ1852-A-1985,JQ,Administrative development an Islamic perspective 
JX4084-S-1970,JX,An examination of documents on which the State of Israel is based 
JQ1830-M-1997,JQ,Arab national communism in the Jewish state 
JA84-H-1962,JA,Arabic thought in the liberal age
JX1974-A-1994,JX,Arms control and the new Middle East security environment 
JC599-B-1996,JC,Behind the red line : political repression in Sudan 
JK468-I-1987,JK,Veil : the secret wars of the CIA 1981-1987 
JQ1825-N-1978,JQ,Bureaucratic culture : citizens and administrators in Israel 
JQ3215-H-1984,JQ,Charte nationale
JQ1825-B-1977,JQ,Civil service reforms in Lebanon : an evaluation of the Lebanese civil service system with special emphasis on the role of the Civil Service Board 
JQ1825-S-1978,JQ,Communism and agrarian reform in Iraq 
JQ3592-K-1956,JQ,Constitutional development in Libya 
JX1675-C-1979,JX,Contacts with the opposition : a symposium in which 19 distinguished participants discuss experiences in Afghanistan
JQ1850-D-1994,JQ,Democracy without democrats? : the renewal of politics in the Muslim world 
JC599-J-1972,JC,"Ḥurrīyāt al-dīmuqrāṭīyah fī Isrāʼīl. English+""Democratic freedoms in israel "
JQ3942-Z-1964,JQ,Destiny of a dynasty : the search for institutions in Morocco's developing society . 
JX1662-K-1994,JX,Diplomacy 
JS7670-T-1981,JS,Du cheikh à l'omda : institution locale traditionnelle et intégration partisane 
JV7926-T-1981,JV,Dossier immigration 
JQ1758-A-1980,JQ,Electoral politics in the Middle East.
JA88-C-1977,JA,Essays on political education 
JV6091-B-1996,JV,Ethnic cleansing 
JC571-F-1988,JC,Forms of solidarity : Human rights : 14-25 August
JV8749-P-1984,JV,From time immemorial : The origins of the Arab-Jewish conflict over Palestine 
JQ224-M-1986,JQ,Government and bureaucracy in India
JC599-H-1990,JC,Human rights in Iraq 
JQ1825-D-1970,JQ,Immigrant voters in Israel : parties and congregations in a local election campaign 
JX1981-S-1992,JX,In the service of peace in the Middle East
JX4541-K-1973,JX,Insurrection under international law
JX1907-A-1964,JX,International Concilation No 550
JV8760-B-1980,JV,International migration and development in the Arab region 
JQ1785-B-1978,JQ,Iran
JQ1825-R-1993,JQ,Iraq and democracy : a futuristic perspective 
JC49-C-1993,JC,Islam and the modern Muslim world 
JC599-D-1998,JC,Islam
JC49-I-1994,JC,Islam
JC49-K-1979,JC,"Ḥukūmah al-Islāmīyah. English+""Islamic government "
JV33-A-1954,JV,Islamic law in Africa 
JQ542-I-1984,JQ,Islamisation of Pakistan 
JC49-F-1991,JC,Islamisme
JQ1830-D-1989,JQ,Israël ultra-secret 
JK468-B-1995,JK,Killing hope : U.S. military and CIA interventions since World War II 
JC49-A-1986,JC,L'islam
JX1794-A-1967,JX,Le Consulat de Tanger
JQ3946-C-1988,JQ,Le makhzen politique au Maroc : hier & aujourd'hui 
JQ1825-B-1976,JQ,Legislative and political development : Lebanon
JC599-T-1992,JC,Making women talk : the interrogation of Palestinian women security detainees by the Israeli general security services 
JA82-L-1972,JA,Medieval political philosophy : a sourcebook 
JX4138-R-1966,JX,Mer Rouge et golfe d'Aqaba dans l'olution du droit international 
JQ1825-S-1973,JQ,Modernization without revolution ; Lebanon's experience.
JQ3396-G-1992,JQ,Muslim brotherhoods and politics in Senegal 
JS61-L-1967,JS,Muslim cities in the later Middle Ages 
JC311-K-1960,JC,Nationalism.
JX1974-F-1997,JX,Nuclear weapons and arms control in the Middle East 
JQ1825-G-1993,JQ,Oil monarchies : domestic and security challenges in the Arab Gulf States 
JV8749-A-1975,JV,"Open the gates! : A personal story of illegal"" immigration to Israel "
JV8749-H-1987,JV,"Ruaḥ ḳadim. English+""Operation Babylon "
JQ1825-S-1987,JQ,Organisation of government under the Prophet 
JC49-H-1980,JC,Origins of modern Arab political thought 
JQ1825-B-1980,JQ,Ottoman rule in Damascus
JQ552-C-1988,JQ,Pakistan
JX4084-C-1974,JX,Palestine and international law : the legal aspects of the Arab-Israeli conflict.
JQ1698-S-1962,JQ,Parties and politics in contemporary Japan 
JF274-P-1977,JF,Patrons and clients in Mediterranean societies 
JQ1758-D-1975,JQ,Patterns of political leadership : Egypt
JC49-A-1991,JC,Political Islam : religion and politics in the Arab world 
JQ1825-L-1967,JQ,Political parties in Lebanon ; the challenge of a fragmented political culture 
JQ1825-J-1982,JQ,Political parties in the West Bank under Jordanian regime 1949-1967 
JQ1758-P-1994,JQ,Political parties of the Middle East and North Africa 
JC49-M-1996,JC,Political science : an Islamic perspective 
JA84-K-1970,JA,Political trends in the Arab world : the role of ideas and ideals in politics 
JQ1805-D-1969,JQ,Politics and government in Turkey 
JQ3595-H-1975,JQ,Politics and government of revolutionary Libya 
JQ3189-A-1970,JQ,Politics in North Africa : Algeria
JC49-K-1979,JC,"Ḥukūmah al-Islāmīyah. French+""Pour un gouvernement islamique "
JQ629-I-1995,JQ,Profiles of intelligence 
JQ1825-K-1989,JQ,Republic of fear : the politics of modern Iraq 