lccparent,lccchild,lcccaption,dcchild,dccaption
F,F 521-535,Indiana,917.72,Indiana--description & travel
F,F 521-535,Indiana,977.2,Indiana
F,F 536-550,Illinois,917.73,Illinois--description & travel
F,F 536-550,Illinois,977.3,Illinois
F,F 550.5-553.2,Lake Region. Great Lakes,917.7 -917.709,North central United States; Lake states--description & travel
F,F 550.5-553.2,Lake Region. Great Lakes,977 -977.03,North central United States; Lake states
F,F 561-575,Michigan,917.74,Michigan--description & travel
F,F 561-575,Michigan,977.4,Michigan
F,F 576-590,Wisconsin,917.75,Wisconsin--description & travel
F,F 576-590,Wisconsin,977.5,Wisconsin
F,F 590.3-596.3,"West, The. Trans-Mississippi Region. Great Plains",917.8 -917.809,Western United States--description & travel
F,F 590.3-596.3,"West, The. Trans-Mississippi Region. Great Plains",978 -978.03,Western United States
F,F 597,"Northwest, The",917.8 -917.809,Western United States--description & travel
F,F 597,"Northwest, The",978 -978.03,Western United States
F,F 598,Missouri River and Valley,917.8 -917.809,Western United States--description & travel
F,F 598,Missouri River and Valley,978 -978.03,Western United States
F,F 601-615,Minnesota,917.76,Minnesota--description & travel
F,F 601-615,Minnesota,977.6,Minnesota
F,F 616-630,Iowa,917.77,Iowa--description & travel
F,F 616-630,Iowa,977.7,Iowa
F,F 631-645,North Dakota,917.84,North Dakota--description & travel
F,F 631-645,North Dakota,978.4,North Dakota
F,F 646-660,South Dakota,917.83,South Dakota--description & travel
F,F 646-660,South Dakota,978.3,South Dakota
F,F 661-675,Nebraska,917.82,Nebraska--description & travel
F,F 661-675,Nebraska,978.2,Nebraska
F,F 676-690,Kansas,917.81,Kansas--description & travel
F,F 676-690,Kansas,978.1,Kansas
F,F 691-705,Oklahoma,917.66,Oklahoma--description & travel
F,F 691-705,Oklahoma,976.6,Oklahoma
F,F 721-722,Rocky Mountains. Yellowstone National Park,917.8 -917.809,Western United States--description & travel
F,F 721-722,Rocky Mountains. Yellowstone National Park,917.8752,Yellowstone National Park--description & travel
F,F 721-722,Rocky Mountains. Yellowstone National Park,978 -978.03,Western United States
F,F 721-722,Rocky Mountains. Yellowstone National Park,978.752,Yellowstone National Park
F,F 726-740,Montana,917.86,Montana--description & travel
F,F 726-740,Montana,978.6,Montana
F,F 741-755,Idaho,917.96,Idaho--description & travel
F,F 741-755,Idaho,979.6,Idaho
F,F 756-770,Wyoming,917.87,Wyoming--description & travel
F,F 756-770,Wyoming,978.7,Wyoming
F,F 771-785,Colorado,917.88,Colorado--description & travel
F,F 771-785,Colorado,978.8,Colorado
F,F 786-790,"New Southwest. Colorado River, Canyon, and Valley",917.9 -917.909,Great Basin and Pacific Slope region--description & travel
F,F 786-790,"New Southwest. Colorado River, Canyon, and Valley",917.913,Colorado Plateau region--description & travel
F,F 786-790,"New Southwest. Colorado River, Canyon, and Valley",979 -979.03,Great Basin and Pacific Slope region
F,F 786-790,"New Southwest. Colorado River, Canyon, and Valley",979.13,Colorado Plateau region
F,F 791-805,New Mexico,917.89,New Mexico--description & travel
F,F 791-805,New Mexico,978.9,New Mexico
F,F 806-820,Arizona,917.91,Arizona--description & travel
F,F 806-820,Arizona,979.1,Arizona
F,F 821-835,Utah,917.92,Utah--description & travel
F,F 821-835,Utah,979.2,Utah
F,F 836-850,Nevada,917.93,Nevada--description & travel
F,F 836-850,Nevada,979.3,Nevada
F,F 850.5-851.5,Pacific States,917.9 -917.909,Great Basin and Pacific Slope region--description & travel
F,F 850.5-851.5,Pacific States,979 -979.03,Great Basin and Pacific Slope region
F,F 851.7,Cascade Range,917.95 -917.9509,Oregon--description & travel
F,F 851.7,Cascade Range,979.5 -979.504,Oregon
F,F 852-854,Pacific Northwest. Columbia River & Valley.,917.95 -917.9509,Oregon--description & travel
F,F 852-854,Pacific Northwest. Columbia River & Valley.,917.97,Washington--description & travel
F,F 852-854,Pacific Northwest. Columbia River & Valley.,979.5 -979.504,Oregon
F,F 852-854,Pacific Northwest. Columbia River & Valley.,979.7,Washington
F,F 856-870,California,917.94,California--description & travel
F,F 856-870,California,979.4,California
F,F 871-885,Oregon,917.95,Oregon--description & travel
F,F 871-885,Oregon,979.5,Oregon
F,F 886-900,Washington,917.97,Washington--description & travel
F,F 886-900,Washington,979.7,Washington
F,F 901-951,Alaska,917.98,Alaska--description & travel
F,F 901-951,Alaska,979.8,Alaska
F,F 951,Bering Sea and Aleutian Islands,917.984,Southwestern Alaska--description & travel
F,F 951,Bering Sea and Aleutian Islands,979.84,Southwestern Alaska
F,F 965,Territories of the United States (General),325.373,Colonization by the United States
F,F 970,Insular possessions of the United States (General),325.373,Colonization by the United States
F,F 975,"Central American, West Indian",325.373,Colonization by the United States
F,F 1001-1140,Canada,917.1,Canada--description & travel
F,F 1001-1140,British America. Canada,917.1,Canada--description & travel
F,F 1001-1140,Canada,971,Canada
F,F 1001-1140,British America. Canada,971,Canada
F,"F 1030, F 1038","New France and Acadia, 1600-1763",971.01 -971.018,Early history to 1763
F,"F 1030, F 1038","New France and Acadia, 1600-1763",971.601 -971.604,Early history to 1763
F,F 1035.8,Maritime provinces. Atlantic coast of Canada,917.15 -917.1509,Atlantic Provinces; Maritime Provinces--description & travel
F,F 1035.8,Maritime provinces. Atlantic coast of Canada,971.5 -971.504,Atlantic Provinces; Maritime Provinces
F,F 1036-1040,Nova Scotia. Acadia,917.16,Nova Scotia--description & travel
F,F 1036-1040,Nova Scotia. Acadia,971.6,Nova Scotia
F,F 1041-1045,New Brunswick,917.151 -917.155,New Brunswick--description & travel
F,F 1041-1045,New Brunswick,971.51 -971.55,New Brunswick
F,F 1046-1049.7,Prince Edward Island,917.17,Prince Edward Island--description & travel
F,F 1046-1049.7,Prince Edward Island,971.7,Prince Edward Island
F,F 1050,"St. Lawrence Gulf, River and Valley (General)",917.14 -917.1409,Quebec--description & travel
F,F 1050,"St. Lawrence Gulf, River and Valley (General)",971.4 -971.404,Quebec
F,F 1051-1055,Quebec,917.14,Quebec--description & travel
F,F 1051-1055,Quebec,971.4,Quebec
F,F 1056-1059.7,Ontario,917.13,Ontario--description & travel
F,F 1056-1059.7,Ontario,971.3,Ontario
F,F 1060-1060.97,Canadian Northwest. Northwest Territories,917.12 -917.1209,Western Canada--description & travel
F,F 1060-1060.97,Canadian Northwest. Northwest Territories,971.2 -971.203,Western Canada
F,F 1061-1065,Manitoba,917.127,Manitoba--description & travel
F,F 1061-1065,Manitoba,971.27,Manitoba
F,F 1067,Assiniboia,917.12 -917.1209,Western Canada--description & travel
F,F 1067,Assiniboia,917.124 -917.12409,Saskatchewan--description & travel
F,F 1067,Assiniboia,971.2 -971.202,Western Canada
F,F 1067,Assiniboia,971.24 -971.2402,Saskatchewan
F,F 1070-1074.7,Saskatchewan,917.124,Saskatchewan--description & travel
F,F 1070-1074.7,Saskatchewan,971.24,Saskatchewan
F,F 1075-1080,Alberta,917.123,Alberta--description & travel
F,F 1075-1080,Alberta,971.23,Alberta
F,F 1086-1089.7,British Columbia,917.11,British Columbia--description & travel
F,F 1086-1089.7,British Columbia,971.1,British Columbia
F,F 1090,Rocky Mountains of Canada,917.11 -917.1109,Rocky Mountains--Canada--description & travel
F,F 1090,Rocky Mountains of Canada,971.1 -971.104,Rocky Mountains--Canada
F,F 1090.5,Arctic regions,917.19 -917.1909,Canadian Arctic--description & travel
F,F 1090.5,Arctic regions,971.9 -971.903,Canadian Arctic
F,F 1091-1095.5,Yukon,917.191,Yukon Territory--description & travel
F,F 1091-1095.5,Yukon,971.91,Yukon Territory
F,F 1096-1100.5,Mackenzie,917.193,Northwest Territories (1999- )--description & travel
F,F 1096-1100.5,Mackenzie,971.93,Northwest Territories (1999- )
F,F 1101-1105.7,Franklin,917.1952,Baffin Region (Qikiqtaaluk Region)--description & travel
F,F 1101-1105.7,Franklin,971.952,Baffin Region (Qikiqtaaluk Region)
F,F 1106-1110.5,Keewatin,917.1958,Keewatin Region (Kivallik Region)--description & travel
F,F 1106-1110.5,Keewatin,971.958,Keewatin Region (Kivallik Region)
F,F 1121-1139,Newfoundland,917.18 -917.181,Newfoundland--description & travel
F,F 1121-1139,Newfoundland,971.8 -971.81,Newfoundland
F,F 1135-1139,Labrador,917.182,Labrador--description & travel
F,F 1135-1139,Labrador,971.82,Labrador
F,F 1140,Labrador Peninsula,917.141 -917.14109,Northern region--description & travel
F,F 1140,Labrador Peninsula,971.41 -971.4104,Northern region
F,F 1141-1145.2,Nunavut,971.95,Nunavut
F,F 1170,Saint Pierre and Miquelon,917.188,Saint Pierre and Miquelon--description & travel
F,F 1170,Saint Pierre and Miquelon,971.88,Saint Pierre and Miquelon
F,F 1201-1392,Mexico,917.2 -917.27,Mexico--description & travel
F,F 1201-1392,Mexico,972 -972.7,Mexico
F,F 1201-3799,Latin America. Spanish America,917.2,Mexico--description & travel
F,F 1201-3799,Latin America. Spanish America,918,Geography of and travel in South America
F,F 1201-3799,Latin America. Spanish America,972,Middle America Mexico
F,F 1201-3799,Latin America. Spanish America,980,General history of South America
F,F 1401-1419,Latin America (General),918 -918.09,Geography of and travel in South America
F,F 1401-1419,Latin America (General),980 -980.4,General history of South America
F,F 1421-1440,Central America,917.28 -917.2809,Central America--description & travel
F,F 1421-1440,Central America,972.8 -972.805,Central America
F,F 1435-1435.3,Mayas,305.897415,Mayas--social aspects
F,F 1435-1435.3,Mayas,917.281 -917.28109,Guatemala--description & travel
F,F 1435-1435.3,Mayas,972.6,Southern Gulf states of Mexico
F,F 1435-1435.3,Mayas,972.81,Guatemala
F,F 1441+,British Honduras (Belize),917.282,Belize--description & travel
F,F 1441+,British Honduras (Belize),972.82,Belize
F,F 1441-1457,Belize,917.282,Belize--description & travel
F,F 1441-1457,Belize,972.82,Belize
F,F 1461-1477,Guatemala,917.281,Guatemala--description & travel
F,F 1461-1477,Guatemala,972.81,Guatemala
F,F 1481-1497,Salvador (El Salvador),917.284,El Salvador--description & travel
F,F 1481-1497,Salvador (El Salvador),972.84,El Salvador
F,F 1501-1517,Honduras,917.283,Honduras--description & travel
F,F 1501-1517,Honduras,972.83,Honduras
F,F 1521-1537,Nicaragua,917.285,Nicaragua--description & travel
F,F 1521-1537,Nicaragua,972.85,Nicaragua
F,F 1541-1557,Costa Rica,917.286,Costa Rica--description & travel
F,F 1541-1557,Costa Rica,972.86,Costa Rica
F,F 1561-1577,Panama,917.287,Panama--description & travel
F,F 1561-1577,Panama,972.87,Panama
F,F 1569.C2,Canal Zone. Panama Canal,917.2875,Canal Area--description & travel
F,F 1569.C2,Canal Zone. Panama Canal,972.875,Canal Area
F,F 1601-1629,West Indies,917.29 -917.2909,West Indies (Antilles) and Bermuda--description & travel
F,F 1601-1629,West Indies,972.9 -972.905,West Indies (Antilles) and Bermuda
F,F 1630+,Bermuda,917.299,Bermuda--description & travel
F,F 1630+,Bermuda,972.99,Bermuda
F,F 1630-1640,Bermudas,917.299,Bermuda--description & travel
F,F 1630-1640,Bermudas,972.99,Bermuda
F,F 1650+,Bahamas,917.296,Bahama Islands--description & travel
F,F 1650+,Bahamas,972.96,Bahama Islands
F,F 1650-1660,Bahamas,917.296,Bahama Islands--description & travel
F,F 1650-1660,Bahamas,972.96,Bahama Islands
F,F 1741-1991,Greater Antilles,917.29 -917.295,Greater Antilles--description & travel
F,F 1741-1991,Greater Antilles,972.9 -972.95,Greater Antilles
F,F 1751-1854.9,Cuba,917.291,Cuba--description & travel
F,F 1751-1854.9,Cuba,972.91,Cuba
F,F 1861-1896,Jamaica,917.292,Jamaica and Cayman Islands--description & travel
F,F 1861-1896,Jamaica,972.92,Jamaica and Cayman Islands
F,F 1900-1941,Haiti (Island). Hispaniola,917.293 -917.294,Dominican Republic; Haiti--description & travel
F,F 1900-1941,Haiti (Island). Hispaniola,972.93 -972.94,Dominican Republic; Haiti
F,F 1912-1930,Haiti (Republic),917.294,Haiti--description & travel
F,F 1912-1930,Haiti (Republic),972.94,Haiti
F,F 1931-1941,Dominican Republic,917.293,Dominican Republic--description & travel
F,F 1931-1941,Dominican Republic,972.93,Dominican Republic
F,F 1951-1983,Puerto Rico,917.295,Puerto Rico--description & travel
F,F 1951-1983,Puerto Rico,972.95,Puerto Rico
F,F 1991,Navassa,917.29,West Indies (Antilles) and Bermuda--description & travel
F,F 1991,Navassa,972.9,West Indies (Antilles) and Bermuda
F,F 2001-2152,Lesser Antilles,917.29,West Indies (Antilles) and Bermuda--description & travel
F,F 2001-2152,Lesser Antilles,917.297 -917.298,Lesser Antilles (Caribbees)--description & travel
F,F 2001-2152,Lesser Antilles,972.9,West Indies (Antilles) and Bermuda
F,F 2001-2152,Lesser Antilles,972.97 -972.98,Lesser Antilles (Caribbees)
F,F 2006,Leeward Islands,917.297 -917.29709,Leeward Islands--description & travel
F,F 2006,Leeward Islands,972.97 -972.97009,Leeward Islands
F,F 2011,Windward Islands,917.2984 -917.298409,Windward Islands--description & travel
F,F 2011,Windward Islands,972.984 -972.984009,Windward Islands
F,F 2016,Islands along Venezuela coast,917.298 -917.29809,Windward and other southern islands--description & travel
F,F 2016,Islands along Venezuela coast,917.2983 -917.298309,Trinidad and Tobago--description & travel
F,F 2016,Islands along Venezuela coast,972.98 -972.9805,Windward and other southern islands
F,F 2016,Islands along Venezuela coast,972.983 -972.983009,Trinidad and Tobago
F,F 2033-2129,Lesser Antilles. Caribbees,917.297 -917.298,Lesser Antilles (Caribbees)--description & travel
F,F 2033-2129,Lesser Antilles. Caribbees,972.97 -972.98,Lesser Antilles (Caribbees)
F,F 2131+,British West Indies,917.29,West Indies (Antilles) and Bermuda--description & travel
F,F 2131+,British West Indies,972.9,West Indies (Antilles) and Bermuda
F,F 2131-2133,British West Indies,917.29,West Indies (Antilles) and Bermuda--description & travel
F,F 2131-2133,British West Indies,972.9,West Indies (Antilles) and Bermuda
F,F 2136,Virgin Islands of the United States,917.29722,Virgin Islands of the United States--description & travel
F,F 2136,Virgin Islands of the United States,972.9722,Virgin Islands of the United States
F,F 2141,Netherlands West Indies. Dutch West Indies,917.2986,Netherlands islands--description & travel
F,F 2141,Dutch West Indies,917.2986,Netherlands islands--description & travel
F,F 2141,Netherlands West Indies. Dutch West Indies,972.986,Netherlands islands
F,F 2141,Dutch West Indies,972.986,Netherlands islands
F,F 2151,French West Indies,917.2976,Guadeloupe--description & travel
F,F 2151,French West Indies,972.976,Guadeloupe
F,F 2155-2191,Caribbean area. Caribbean Sea,917.29 -917.2909,West Indies (Antilles) and Bermuda--description & travel
F,F 2155-2191,Caribbean area. Caribbean Sea,972.9 -972.905,West Indies (Antilles) and Bermuda
F,F 2201-3799,South America,918,Geography of and travel in South America
F,F 2201-3799,South America,980,General history of South America
F,F 2251-2299,Colombia,918.61,Colombia--description & travel
F,F 2251-2299,Colombia,986.1,Colombia
F,F 2301-2349,Venezuela,918.7,Venezuela--description & travel
F,F 2301-2349,Venezuela,987,Venezuela
F,F 2351,Guiana,918.8 -918.809,Guiana--description & travel
F,F 2351,Guiana,988 -988.03,Guiana
F,F 2361+,British Guiana,918.81,Guyana--description & travel
F,F 2361+,British Guiana,988.1,Guyana
F,F 2361-2391,Guyana. British Guiana,918.81,Guyana--description & travel
F,F 2361-2391,Guyana. British Guiana,988.1,Guyana
F,F 2401,Dutch Guinea,918.83,Surinam (Suriname)--description & travel
F,F 2401,Dutch Guinea,988.3,Surinam (Suriname)
F,F 2401-2431,Surinam,918.83,Surinam (Suriname)--description & travel
F,F 2401-2431,Surinam,988.3,Surinam (Suriname)
F,F 2441+,French Guiana,918.82,French Guiana (Guyane)--description & travel
F,F 2441+,French Guiana,988.2,French Guiana (Guyane)
F,F 2441-2471,French Guiana,918.82,French Guiana (Guyane)--description & travel
F,F 2441-2471,French Guiana,988.2,French Guiana (Guyane)
F,F 2501-2659,Brazil,918.1,Brazil--description & travel
F,F 2501-2659,Brazil,981,Brazil
F,F 2529,"French Colony in Brazil, 1555-1567",981.032,"Period of hereditary captaincies, 1533-1762"
F,F 2532,"Dutch Colony in Brazil, 1625-1661",981.032,"Period of hereditary captaincies, 1533-1762"
F,F 2661-2699,Paraguay,918.92,Paraguay--description & travel
F,F 2661-2699,Paraguay,989.2,Paraguay
F,F 2701-2799,Uruguay,918.95,Uruguay--description & travel
F,F 2701-2799,Uruguay,989.5,Uruguay
F,F 2801-3021,Argentina,918.2,Argentina--description & travel
F,F 2801-3021,Argentina,982,Argentina
F,F 3031+,Falkland Islands,919.711,Falkland Islands (Islas Malvinas)--description & travel
F,F 3031+,Falkland Islands,997.11,Falkland Islands (Islas Malvinas)
F,F 3031-3031.5,Falkland Islands,919.711,Falkland Islands (Islas Malvinas)--description & travel
F,F 3031-3031.5,Falkland Islands,997.11,Falkland Islands (Islas Malvinas)
F,F 3051-3285,Chile,918.3,Chile--description & travel
F,F 3051-3285,Chile,983,Chile
F,F 3301-3359,Bolivia,918.4,Bolivia--description & travel
F,F 3301-3359,Bolivia,984,Bolivia
F,F 3401-3619,Peru,918.5,Peru--description & travel
F,F 3401-3619,Peru,985,Peru
F,F 3701-3799,Ecuador,918.66,Ecuador--description & travel
F,F 3701-3799,Ecuador,986.6,Ecuador
LCC,G,Geography (General),910 - 912,Geography & travel
G,GA,Mathematical geography. Cartography,526,Mathematical geography
G,GB,Physical geography,551.4 - 551.45,Geomorphology
G,GC,Oceanography,551.46 - 551.47,Oceanography
G,GE,Environmental sciences,333.7 - 333.709,Natural resources & energy
G,GF,Human ecology. Anthropogeography,304 - 304.2,Factors affecting social behavior; Human ecology
G,GN,Anthropology,302.3 - 302.4,Social interaction
G,GN,Anthropology,305,Social groups
G,GN,Anthropology,306.3,Economic institutions
G,GN,Anthropology,306.8,Marriage & family
G,GN,Anthropology,599.9,Physical anthropology
G,GR,Folklore,398.2 - 398.4,Folk literature
G,GR,Folklore,398.8,Rhymes & rhyming games
G,GT,Manners and customs (General),390 - 394,"Customs, etiquette & folklore"
G,GV,Recreation. Leisure,790,"Sports, games & entertainment"
G,GV,Recreation. Leisure,796,Athletic & outdoor sports & games
G,GV,Recreation. Leisure,796.4,"Weight lifting, track & field, gymnastics"
G,GV,Recreation. Leisure,797,Aquatic & air sports
GV,GV 1019.2-1038.2,Motor sports,796.7,Driving motor vehicles
GV,GV 1040-1059,Cycling. Bicycling,796.6,Cycling & related activities
GV,GV 1060.5-1098,Track and field athletics,796.42,Track & field
GV,GV 1100-1150.9,Fighting sports. Martial arts,796.8,Combat sports
GV,GV 1151-1190,Shooting,799.3,Shooting other than game
GV,GV 1199-1570,Games and amusements,793,Indoor games & amusements
GV,GV 1199-1570,Games and amusements,794,Indoor games of skill
GV,GV 1199-1570,Games and amusements,795,Games of chance
GV,GV 191.2-200.66,Outdoor life. Outdoor recreation,796.5,Outdoor life
GV,GV 460-555,Gymnastics. Gymnastic exercises,796.44 - 796.47,Gymnastics
GV,GV 545.5-548,Weight training. Weight lifting. Body building,796.41,Weight lifting
GV,GV 750-770.27,Air sports,797.5,Air sports
GV,GV 770.3- 840,Water sports,797.1 - 797.3,Aquatic sports
GV,GV 840.7-857,Winter sports,796.9,Ice & snow sports
GV,GV 861-1017,Ball games,796.3,Ball games
LCC,H,Social sciences,na,na
H,H 1-99,Social sciences (General),300 - 300.9,"Social sciences, sociology & anthropology"
H,HA,Statistics,310,Collections of general statistics
H,HB,Economic theory. Demography,330 - 330.1,"Systems, schools, theories"
H,HB,Economic theory. Demography,339,Macroeconomics & related topics
H,HC,Economic history and conditions,330.9,Economic situation & conditions
H,HD,Economic history and conditions,331,Labor economics
H,HD,Economic history and conditions,333 - 333.5,Economics of land
H,HD,Economic history and conditions,338,Production
H,HE,Transportation and communications,383 - 388,Communications & transportation
H,HF,Commerce,337,International economics
H,HF,Commerce,381,Internal commerce (Domestic trade)
H,HF,Commerce,382,International commerce (Foreign trade)
H,HF,Commerce,650,Management & public relations
H,HF,Commerce,651,Office services
H,HF,Commerce,657,Accounting
H,HF,Commerce,658,General management
H,HF,Commerce,659.1,Advertising
H,HG,Finance,332,Financial economics
H,HJ,Public finance,336,Public finance
H,HQ,The Family. Marriage. Women,649.1 - 641.7,Child rearing & home care of children
H,HV,Sign language. Gesture--Systems of speech of the deaf,419,Sign languages
H,HX,Socialism. Communism. Anarchism,335,Socialism & related systems
LCC,J,Political science,na,na
J,JA,Political science,320 - 320.09,Political science
LCC,K,Law in general. Comparative and uniform law. Jurisprudence,340 - 340.5,Law
K,KZ,Law of nations,341,International law
LCC,L,Education (General),370,Education
LCC,L,Education (General),370.1,Philosophy & theory
LCC,L,Education (General),370.3,Education--Dictionaries
LCC,L,Education (General),370.5,Education--Periodicals
LCC,L,Education (General),370.7,"Education, research, related topics"
LCC,L,Education (General),370.8,History & description with respect to kinds of persons
L,LA,History of education,370.9,"Historical, geographic, persons treatment"
L,LB,Theory and practice of education,370.15,Educational psychology
L,LB,Theory and practice of education,371,Schools & activities; special education
L,LB,Theory and practice of education,372,Elementary education
L,LB,Theory and practice of education,373,Secondary education
L,LB,Theory and practice of education,378.1,Organization & activities in higher education
L,LB,Theory and practice of education,378.2,Academic degrees & related topics
L,LB,Theory and practice of education,378.3,Student aid & related topics
L,LC,Special aspects of education,306.43,Education--sociology
L,LC,Special aspects of education,370.11,Education for specific objectives
