lccparent,lccchild,lcccaption,dcchild,dccaption
L,LC,Special aspects of education,371.82,Specific kinds of students
L,LC,Special aspects of education,374,Adult education
L,LC,Special aspects of education,379,Public policy issues in education
L,LD,Individual institutions - United States,378.73 - 378.79,Higher education--United States
L,LE,Individual institutions - America (except United States),378.8,Universities & colleges--Latin America
L,LF,Individual institutions - Europe,378.4,Higher education--Europe
L,LG,"Individual institutions - Asia, Africa, Oceania",378.5 - 378.6,Higher education--Africa
L,LH,College and school magazines and newspapers,378,Higher education
L,LT,Textbooks,na,na
LCC,M,Musical Works,782 - 788,"Ensembles, voices, instruments"
M,ML,Literature on music,780,Music
M,MT,Musical instruction and study,781 - 781.4,General principles & musical forms
LCC,N,Visual arts (General),700,The arts; Fine and decorative arts
LCC,N,Visual arts (General),701,Philosophy of fine & decorative arts
LCC,N,Visual arts (General),702,Miscellany of fine & decorative arts
LCC,N,Visual arts (General),703,Dictionaries of fine & decorative arts
LCC,N,Visual arts (General),704,Special topics of fine & decorative arts
LCC,N,Visual arts (General),705,Serial publications of fine & decorative arts
LCC,N,Visual arts (General),706,Organizations & management
LCC,N,Visual arts (General),707,"Education, research, related topics"
LCC,N,Visual arts (General),708,"Galleries, museums, private collections"
LCC,N,Visual arts (General),709,"Historical, geographic, persons treatment"
N,NA,Architecture,711,Area planning (Civic art)
N,NA,Architecture,720,Architecture
N,NB,Sculpture,730,Plastic arts; Sculpture
N,NC,Drawing. Design. Illustration,740,Drawing & decorative arts
N,NC,Drawing. Design. Illustration,741,Drawing & drawings
N,NC,Drawing. Design. Illustration,742,Perspective
N,NC,Drawing. Design. Illustration,743,Drawing & drawings by subject
N,ND,Painting,750,Painting & paintings
N,NE,Print media,760,Graphic arts; Printmaking & prints
N,NK,Decorative arts. Applied arts,745,Decorative arts
N,NK,Decorative arts. Applied arts,746,Textile arts
N,NK,Decorative arts. Applied arts,747,Interior decoration
N,NK,Decorative arts. Applied arts,748,Glass
N,NK,Decorative arts. Applied arts,749,Furniture & accessories
N,NX,Arts in general,700.1,Philosophy of the arts
N,NX,Arts in general,700.4,Special topics of the arts
N,NX,Arts in general,700.5,Serial publications of the arts
N,NX,Arts in general,700.9,"Historical, geographic, persons treatment of the arts"
LCC,P,Philology. Linguistics,400 - 418,Language; Linguistics
LCC,P,Philology. Linguistics,491.993 - 491.998,Other Indo-European languages
P,P 1078,Philology. Linguistics,499.94,Etruscan language
P,P 117-117.5,Sign language. Gesture--General,419,Sign languages
P,PA,Greek & Latin languages & literatures,470,Latin & Italic languages
P,PA,Greek & Latin languages & literatures,480,Classical & modern Greek languages
P,PA,Greek & Latin languages & literatures,870,Latin & Italic literatures
P,PA,Greek & Latin languages & literatures,880,Classical & modern Greek literatures
P,PB,Modern languages. Celtic languages,491.6,Celtic languages
P,PB,Modern languages. Celtic languages,891.6,Celtic literatures
PB,PB 1 - 431,Modern languages. Celtic languages--General,410,Linguistics
P,PC,Romance languages,849,Provencal & Catalan literatures
P,PC,Romance languages,859,Romanian & Rhaeto-Romanic literatures
PC,PC 2001 - 3761,Romance languages,440,French & related languages
PC,PC 4001+,Romance languages,460,Spanish & Portuguese languages
PC,PC 601 - 1984,Romance languages,450,"Italian, Romanian & related languages"
P,PD,Germanic languages. Scandinavian languages,430 - 438,German & related languages
P,PD,Germanic languages. Scandinavian languages,439.5 - 439.8,North Germanic languages (Nordic languages)
P,PD,Germanic languages. Scandinavian languages,439.9,East Germanic languages
P,PE,English language,420,English & Old English Languages
P,PF,West Germanic languages,430 - 438,German & related languages
P,PF,West Germanic languages,439.2 - 439.4,Low Germanic languages
P,PF,West Germanic languages,839.2,Frisian literature
P,PG,"Slavic, Baltic, Albanian languages & literatures",491.7,East Slavic languages; Russian language
P,PG,"Slavic, Baltic, Albanian languages & literatures",491.8,Slavic (Slavonic) languages
P,PG,"Slavic, Baltic, Albanian languages & literatures",491.9 - 491.991,Baltic languages; Albanian language
P,PG,"Slavic, Baltic, Albanian languages & literatures",891.7,East Slavic literatures; Russian literature
P,PG,"Slavic, Baltic, Albanian languages & literatures",891.8,Slavic (Slavonic) literatures
P,PG,"Slavic, Baltic, Albanian languages & literatures",891.9 - 891.991,Baltic literatures; Albanian literature
P,PH,"Finno-Ugric, Basque languages & literatures",494.4,Samoyedic languages
P,PH,"Finno-Ugric, Basque languages & literatures",494.5,Finno-Ugric languages
P,PH,"Finno-Ugric, Basque languages & literatures",499.92,Basque language
P,PH,"Finno-Ugric, Basque languages & literatures",894.5,Finno-Ugric literatures
P,PH,"Finno-Ugric, Basque languages & literatures",899.92,Basque literature
P,PJ,Oriental languages & literatures--Yiddish language,439.1,Yiddish language
P,PJ,Oriental languages & literatures,492,Afro-Asiatic languages; Semitic languages
P,PJ,Oriental languages & literatures,493 - 493.5,Non-Semitic Afro-Asiatic languages
P,PJ,Oriental languages & literatures,499.95,Sumerian language
P,PJ,Oriental languages & literatures--Yiddish literature,839.1,Yiddish literature
P,PJ,Oriental languages & literatures,892,Afro-Asiatic literatures; Semitic literatures
P,PJ,Oriental languages & literatures,893 - 893.5,Non-Semitic Afro-Asiatic literatures
P,PJ,Oriental languages & literatures,899.95,Sumerian literature
P,PK,Indo-Iranian language & literature,491.1 - 491.5,Indo-Iranian languages
P,PK,Indo-Iranian language & literature,499.96,Caucasian languages
P,PK,Indo-Iranian language & literature,891.1 - 891.5,Indo-Iranian literatures
P,PK,Indo-Iranian language & literature,899.96,Caucasian literatures
PK,PK 8001 - 8499,Indo-Iranian language & literature,491.992,Armenian language
PK,PK 8501 - 8835,Indo-Iranian language & literature,891.992,Armenian literature
P,PL,"Languages of Eastern Asia, Africa, Oceania",494 - 494.3,Ural-Altaic languages
P,PL,"Languages of Eastern Asia, Africa, Oceania",494.6,Ainu language
P,PL,"Languages of Eastern Asia, Africa, Oceania",494.8,Dravidian languages
P,PL,"Languages of Eastern Asia, Africa, Oceania",495,Languages of East & Southeast Asia
P,PL,"Languages of Eastern Asia, Africa, Oceania",499.1 - 499.5,Austronesian & other languages
P,PL,"Languages of Eastern Asia, Africa, Oceania",894 - 894.4,Ural-Altaic literatures
P,PL,"Languages of Eastern Asia, Africa, Oceania",894.6,Ainu literature
P,PL,"Languages of Eastern Asia, Africa, Oceania",894.8,Dravidian literatures
P,PL,"Languages of Eastern Asia, Africa, Oceania",895,Literatures of East & Southeast Asia
P,PL,"Languages of Eastern Asia, Africa, Oceania",899.1 - 899.5,Austronesian & other literatures
PL,PL 8000 - 8844,"Languages of Eastern Asia, Africa, Oceania",493.7,Chadic languages
PL,PL 8000 - 8844,"Languages of Eastern Asia, Africa, Oceania",496,African languages
PL,PL 8000 - 8844,"Languages of Eastern Asia, Africa, Oceania",893.7,Chadic literatures
PL,PL 8000 - 8844,"Languages of Eastern Asia, Africa, Oceania",896,African literatures
P,PM,"Hyperborean, Indian, & artificial languages",494.6,"Altaic, Uralic, Hyperborean, Dravidian languages"
P,PM,"Hyperborean, Indian, & artificial languages",497,North American native languages
P,PM,"Hyperborean, Indian, & artificial languages",498,South American native languages
P,PM,"Hyperborean, Indian, & artificial languages",499.99,Artificial languages
P,PM,"Hyperborean, Indian, & artificial languages",897,Literatures of North American native languages
P,PM,"Hyperborean, Indian, & artificial languages",898,Literatures of South American native languages
P,PN,Literature (General),800 - 809,"Literature, rhetoric & criticism"
P,PQ,Literature,na,na
PQ,PQ 1 - 3999,"French, Italian, Spanish, & Portuguese literatures",840,French & related literatures
PQ,PQ 4001 - 5999,"French, Italian, Spanish, & Portuguese literatures",850,"Italian, Romanian & related literatures"
PQ,PQ 6001+,"French, Italian, Spanish, & Portuguese literatures",860,Spanish & Portuguese literatures
P,PR,English literature,820,English & Old English (Anglo-Saxon) literatures
P,PS,American literature,810,American literature in English
P,PT,German literature,830,German & related literatures
P,PZ,Juvenile belles lettres,na,na
LCC,Q,Science (General),500,Natural sciences & mathematics
LCC,Q,Science (General),501,Philosophy of science
LCC,Q,Science (General),502,Miscellany
LCC,Q,Science (General),503,Dictionaries & encyclopedias
LCC,Q,Science (General),505,Serial publications
LCC,Q,Science (General),506,Organizations & management
LCC,Q,Science (General),507,"Education, research, related topics"
LCC,Q,Science (General),509,"Historical, geographic, persons treatment"
Q,QA,Mathematics,3,Systems
Q,QA,Mathematics,510,Mathematics
QA,QA 75.5 - 76.95,Mathematics,004 - 006,Data processing; Computer science
Q,QB,Astronomy,520,Astronomy & allied sciences
Q,QB,Astronomy,521,Celestial mechanics
Q,QB,Astronomy,522,"Techniques, equipment, materials"
Q,QB,Astronomy,523,Specific celestial bodies & phenomena
Q,QB,Astronomy,525,Earth (Astronomical geography)
Q,QB,Astronomy,528,Ephemerides
Q,QB,Astronomy,529,Chronology
Q,QC,Physics,530,Physics
Q,QD,Chemistry,540,Chemistry & allied sciences
Q,QE,Geology,550,Earth sciences
Q,QE,Geology,551,"Geology, hydrology, meteorology"
Q,QE,Geology,552,Petrology
Q,QE,Geology,553,Economic geology
Q,QE,Geology,554,Earth sciences of Europe
Q,QE,Geology,555,Earth sciences of Asia
Q,QE,Geology,556,Earth sciences of Africa
Q,QE,Geology,557,Earth sciences of North America
Q,QE,Geology,558,Earth sciences of South America
Q,QE,Geology,559,Earth sciences of other areas
QE,QE 701+,Geology--Paleontology,560 - 561,Paleontology; Paleozoology
Q,QH,Biology (General),576,Genetics & evolution
Q,QH,Biology (General),577,Ecology
Q,QH,Biology (General),578,Natural history of organisms
QH,QHN,Natural history (General),508,Natural history
Q,QK,Botany,571,Physiology & related subjects
Q,QK,Botany,572,Biochemistry
Q,QK,Botany,573,Specific systems in animals
Q,QK,Botany,575,Specific parts of & physiological systems in plants
Q,QK,Botany,579.4 - 579.8,"Protozoa, fungi, mushrooms, lichens, algae"
Q,QK,Botany,580,Plants
Q,QL,Zoology,590,Animals
Q,QM,Human anatomy,611,"Human anatomy, cytology, histology"
Q,QP,Physiology,571,Physiology & related subjects
Q,QP,Physiology,572,Biochemistry
Q,QP,Physiology,573,Specific systems in animals
Q,QP,Physiology,612,Human physiology
Q,QR,Microbiology,579 - 579.3,Microorganisms
Q,QS,Human Anatomy,611,"Human anatomy, cytology, histology"
QS,QS 1-132,Anatomy,611,"Human anatomy, cytology, histology"
QS,QS 504-539,Histology,362.1783,Organ & tissue banks
QS,QS 504-539,Histology,611.018,Cytology & histology
QS,QS 604-681,Embryology,612.64,Physiology of embryo & fetus
QS,QS 604-681,Embryology,616.043,Congenital diseases
Q,QT,Physiology,612,Human physiology
QT,QT 104-172,Human Physiology,612,Human physiology
QT,QT 1-33.1,Physiology (General),612,Human physiology
QT,QT 180-275,Physiology & Hygiene,613,Promotion of health
QT,QT 180-275,Physiology & Hygiene,617.1027,Athletic injuries
Q,QU,Biochemistry,612.015,Biochemistry
Q,QU,Biochemistry,613.2,Dietetics
Q,QV,Pharmacology,615.1,Drugs (Materia medica)
QV,QV 11,Pharmacology--History,615.109,Drugs (Materia medica)--history
QV,QV 1-370,Pharmacology (General),615.1,Drugs (Materia medica)
QV,QV 1-370,Pharmacology (General),615.2,Inorganic drugs
QV,QV 1-370,Pharmacology (General),615.3,Organic drugs
QV,QV 1-370,Pharmacology (General),615.7,Pharmacodynamics
QV,QV 600-667,Toxicology,615.9,Toxicology
QV,QV 701-835,Pharmacy and Pharmaceutics,615.1,Drugs (Materia medica)
QV,QV 701-835,Pharmacy and Pharmaceutics,615.2,Inorganic drugs
QV,QV 701-835,Pharmacy and Pharmaceutics,615.3,Organic drugs
QV,QV 701-835,Pharmacy and Pharmaceutics,615.4,Practical pharmacy
QV,QV 701-835,Pharmacy and Pharmaceutics,615.7,Pharmacodynamics
Q,QW,Microbiology and Immunology,616.01,Medical microbiology
Q,QW,Microbiology and Immunology,616.079,Immunity
Q,QX,Parasitology,616.96,Parasitic diseases
Q,QY,Clinical Pathology,616.07,Pathology
QY,QY 11,Clinical Pathology--History,616.0709,Pathology--history
Q,QZ,Pathology,571.9,Diseases--Pathology
Q,QZ,Pathology,616.07,Pathology
Q,QZ,Pathology,616.992,Tumors
Q,QZ,Pathology,616.993,Benign tumors
Q,QZ,Pathology,616.994,Cancers
Q,QZ,Pathology,636.089607,Veterinary pathology
QZ,QZ 11,Pathology--History,616.0709,Pathology--history
LCC,S,Agriculture (General),630,Agriculture
LCC,S,Agriculture (General),631 - 631.4,"Techniques, equipment, materials"
LCC,S,Agriculture (General),631.6,"Clearing, drainage, revegetation"
LCC,S,Agriculture (General),631.7,Water conservation
LCC,S,Agriculture (General),631.8,"Fertilizers, soil conditioners, growth regulators"
S,SB,Plant culture,581.6,Miscellaneous nontaxonomic kinds of plants
S,SB,Plant culture,631.5,Cultivation & harvesting
S,SB,Plant culture,632,"Plant injuries, diseases, pests"
S,SB,Plant culture,633,Field & plantation crops
S,SB,Plant culture,634.1 - 634.6,Orchards & their fruits
S,SB,Plant culture,634.7,Berries & herbaceous tropical & subtropical fruits
S,SB,Plant culture,634.8,Grapes
S,SB,Plant culture,635,Garden crops (Horticulture)
S,SD,Forestry,634.9,Forestry
S,SF,Animal culture,636,Animal husbandry
S,SF,Animal culture,637,Processing dairy & related products
S,SF,Animal culture,638,Insect culture
S,SF,Animal culture,798,Equestrian sports & animal racing
S,SH,Aquaculture. Fisheries. Angling,639.2,"Commercial fishing, whaling, sealing"
S,SH,Aquaculture. Fisheries. Angling,639.3,Culture of cold-blooded vertebrates; Fish culture
S,SH,Aquaculture. Fisheries. Angling,639.4,Mollusk fisheries & culture
S,SH,Aquaculture. Fisheries. Angling,639.5,Crustacean fisheries
S,SH,Aquaculture. Fisheries. Angling,639.6,Crustacean culture
S,SH,Aquaculture. Fisheries. Angling,639.7,Harvest & culture of invertebrates other than mollusks & crustaceans
S,SH,Aquaculture. Fisheries. Angling,639.8,Aquaculture
S,SH,Aquaculture. Fisheries. Angling,799.1,Fishing
S,SK,Hunting sports,639.1,Hunting
S,SK,Hunting sports,639.9,Conservation of biological resources
S,SK,Hunting sports,799.2,Hunting
LCC,T,Technology (General),600,Technology (Applied sciences)
LCC,T,Technology (General),601,Philosophy & theory
LCC,T,Technology (General),602,Miscellany
LCC,T,Technology (General),603,Dictionaries & encyclopedias
LCC,T,Technology (General),604,"Technical drawing, hazardous materials technology"
LCC,T,Technology (General),605,Serial publications
LCC,T,Technology (General),606,Organizations
LCC,T,Technology (General),607,"Education, research, related topics"
LCC,T,Technology (General),608,Inventions & patents
LCC,T,Technology (General),609,"Historical, geographic, persons treatment"
LCC,T,Technology (General),620.8,Human factors & safety engineering
T,TA,Engineering (General). Civil engineering,526.9,Surveying
T,TA,Engineering (General). Civil engineering,624,Civil engineering
T,TA,Engineering (General). Civil engineering,624.1,Structural engineering & underground construction
T,TA,Engineering (General). Civil engineering,629.04,Transportation engineering
T,TA,Engineering (General). Civil engineering,681.2,"Testing, measuring, sensing instruments"
T,TC,Hydraulic engineering,627,Hydraulic engineering
T,TD,Environmental technology. Sanitary engineering,363.7,Environmental problems
T,TD,Environmental technology. Sanitary engineering,628,Sanitary & municipal engineering
T,TE,Highway engineering. Roads and pavements,625.7 - 625.8,Engineering of roads
T,TG,Bridge engineering,624.2 - 625.8,Bridges--Design and construction
T,TH,Building construction,690,Buildings
T,TJ,Mechanical engineering and machinery,604.2,Technical drawing
T,TJ,Mechanical engineering and machinery,621.1,Steam engineering
T,TJ,Mechanical engineering and machinery,621.2,Hydraulic-power technology
T,TJ,Mechanical engineering and machinery,621.4,"Engines, power plants, propulsion systems"
T,TJ,Mechanical engineering and machinery,621.5,"Pneumatic, vacuum, low-temperature technologies"
T,TJ,Mechanical engineering and machinery,621.6,"Blowers, fans, pumps"
T,TJ,Mechanical engineering and machinery,621.8,Machine engineering
T,TJ,Mechanical engineering and machinery,621.9,Tools
T,TJ,Mechanical engineering and machinery,625.26,Locomotives
T,TJ,Mechanical engineering and machinery,629.8,Automatic control engineering
T,TJ,Mechanical engineering and machinery,681,Precision instruments & other devices
T,TK,Electrical engineering. Electronics. Nuclear engineering,621.3,Electrical engineering
T,TK,Electrical engineering. Electronics. Nuclear engineering,621.48,Nuclear engineering
T,TL,Motor vehicles. Aeronautics. Astronautics,629.1,Aerospace engineering
T,TL,Motor vehicles. Aeronautics. Astronautics,629.2,"Motor land vehicles, cycles"
T,TL,Motor vehicles. Aeronautics. Astronautics,629.3,"Air-cushion vehicles (Ground-effect machines, Hovercraft)"
T,TL,Motor vehicles. Aeronautics. Astronautics,629.4,Astronautics
T,TN,Mining engineering. Metallurgy,622,Mining & related operations
T,TN,Mining engineering. Metallurgy,669,Metallurgy
T,TP,Chemical technology,660,Chemical engineering
T,TR,Photography,621.367,Technological photography & photo-optics
T,TR,Photography,770,Photography & photographs
T,TS,Manufactures,658.5,Management of production
T,TS,Manufactures,664.7,"Grains, other seeds, their derived products"
T,TS,Manufactures,664.9,Meats & allied foods
T,TS,Manufactures,670,Manufacturing
T,TS,Manufactures,681.1,"Instruments for measuring time, counting & calculating machines"
T,TS,Manufactures,683,Hardware & household appliances
T,TS,Manufactures,683.3,Locksmithing
T,TS,Manufactures,683.4,Small firearms
T,TS,Manufactures,684.1,Furniture
T,TS,Manufactures,685,"Leather, fur goods, related products"
T,TT,Handicrafts. Arts and crafts,646.1,Sewing materials & equipment
T,TT,Handicrafts. Arts and crafts,646.2,Sewing & related operations
T,TT,Handicrafts. Arts and crafts,646.3,Clothing & accessories
T,TT,Handicrafts. Arts and crafts,646.4,Clothing & accessories construction
T,TT,Handicrafts. Arts and crafts,646.72,"Care of hair, face, skin"
T,TT,Handicrafts. Arts and crafts,745.5,Handicrafts
T,TT,Handicrafts. Arts and crafts,745.7,Decorative coloring
T,TT,Handicrafts. Arts and crafts,746,Textile arts
T,TX,Home economics. Hospitality industry,613.2,Dietetics
T,TX,Home economics. Hospitality industry,640,Home economics & family living
T,TX,Home economics. Hospitality industry,641,Food & drink
T,TX,Home economics. Hospitality industry,642,Meals & table service
T,TX,Home economics. Hospitality industry,643,Housing & household equipment
T,TX,Home economics. Hospitality industry,644,Household utilities
T,TX,Home economics. Hospitality industry,645,Household furnishings
T,TX,Home economics. Hospitality industry,646,"Sewing, clothing, personal living"
T,TX,Home economics. Hospitality industry,647,Management of public households
T,TX,Home economics. Hospitality industry,648,Housekeeping
LCC,U,Military science (General),355.02,War & warfare
LCC,U,Military science (General),355.1,Military life & customs
LCC,U,Military science (General),355.4,Military operations
LCC,U,Military science (General),355.5,Military training
LCC,U,Military science (General),355.82,Specific kinds of weapons (ordnance)
LCC,U,Military science (General),623.4,Ordnance
U,UA,"Armies: Organization, distribution, military situation",355.03,Military situation & policy
U,UA,"Armies: Organization, distribution, military situation",355.3 - 355.31,Organization & personnel of military forces
U,UA,"Armies: Organization, distribution, military situation",355.35,Combat units according to field of service
U,UB,Military administration,355.2 - 355.23,Military resources
U,UB,Military administration,355.22,Human resources
U,UB,Military administration,355.23,Civilian workers
U,UB,Military administration,355.33,Personnel & their hierarchy
U,UB,Military administration,355.34,Noncombat services
U,UB,Military administration,355.6,Military administration
U,UB,Military administration,355.7,Military installations
U,UB,Military administration,362.86,Veterans
U,UC,Maintenance and transportation,355.24 - 355.29,Strategic materials
U,UC,Maintenance and transportation,355.621,Supply administration
U,UC,Maintenance and transportation,355.8,Military equipment & supplies; Weapons (Ordnance)
U,UD,Infantry,355.54,Basic training
U,UD,Infantry,356,Foot forces & warfare
U,UE,Cavalry. Armor,357,Mounted forces & warfare
U,UE,Cavalry. Armor,358.18,Armored forces
U,UF,Artillery,355.82,Specific kinds of weapons (ordnance)
U,UF,Artillery,358.1,Missile forces; army artillery & armored forces
U,UF,Artillery,358.12,Army artillery forces
U,UF,Artillery,358.13,Antiaircraft artillery forces
U,UF,Artillery,358.16,Coast artillery forces
U,UF,Artillery,623.4,Ordnance
U,UG,Military engineering. Air forces,358.17,Guided missile forces
U,UG,Military engineering. Air forces,358.2,Army engineering
U,UG,Military engineering. Air forces,358.3,"Chemical, biological, radiological warfare"
U,UG,Military engineering. Air forces,358.4,Air forces & warfare
U,UG,Military engineering. Air forces,358.8,Space forces
U,UG,Military engineering. Air forces,623,Military & nautical engineering
U,UH,Other services,355.34,Noncombat services
