child,parent,description
root,,
A,root,Agriculture; forestry and fishing
A_1,A,Crop and animal production; hunting and related service activities
A_11,A_1,Growing of non-perennial crops
A_111,A_11,Growing of cereals (except rice); leguminous crops and oil seeds
A_112,A_11,Growing of rice
A_113,A_11,Growing of vegetables and melons; roots and tubers
A_114,A_11,Growing of sugar cane
A_115,A_11,Growing of tobacco
A_116,A_11,Growing of fibre crops
A_119,A_11,Growing of other non-perennial crops
A_12,A_1,Growing of perennial crops
A_121,A_12,Growing of grapes
A_122,A_12,Growing of tropical and subtropical fruits
A_123,A_12,Growing of citrus fruits
A_124,A_12,Growing of pome fruits and stone fruits
A_125,A_12,Growing of other tree and bush fruits and nuts
A_126,A_12,Growing of oleaginous fruits
A_127,A_12,Growing of beverage crops
A_128,A_12,Growing of spices; aromatic; drug and pharmaceutical crops
A_129,A_12,Growing of other perennial crops
A_13,A_1,Plant propagation
A_130,A_13,Plant propagation
A_14,A_1,Animal production
A_141,A_14,Raising of cattle and buffaloes
A_142,A_14,Raising of horses and other equines
A_143,A_14,Raising of camels and camelids
A_144,A_14,Raising of sheep and goats
A_145,A_14,Raising of swine/pigs
A_146,A_14,Raising of poultry
A_149,A_14,Raising of other animals
A_15,A_1,Mixed farming
A_150,A_15,Mixed farming
A_16,A_1,Support activities to agriculture and post-harvest crop activities
A_161,A_16,Support activities for crop production
A_162,A_16,Support activities for animal production
A_163,A_16,Post-harvest crop activities
A_164,A_16,Seed processing for propagation
A_17,A_1,Hunting; trapping and related service activities
A_170,A_17,Hunting; trapping and related service activities
A_2,A,Forestry and logging
A_21,A_2,Silviculture and other forestry activities
A_210,A_21,Silviculture and other forestry activities
A_22,A_2,Logging
A_220,A_22,Logging
A_23,A_2,Gathering of non-wood forest products
A_230,A_23,Gathering of non-wood forest products
A_24,A_2,Support services to forestry
A_240,A_24,Support services to forestry
A_3,A,Fishing and aquaculture
A_31,A_3,Fishing
A_311,A_31,Marine fishing
A_312,A_31,Freshwater fishing
A_32,A_3,Aquaculture
A_321,A_32,Marine aquaculture
A_322,A_32,Freshwater aquaculture
B,root,Mining and quarrying
B_5,B,Mining of coal and lignite
B_51,B_5,Mining of hard coal
B_510,B_51,Mining of hard coal
B_52,B_5,Mining of lignite
B_520,B_52,Mining of lignite
B_6,B,Extraction of crude petroleum and natural gas
B_61,B_6,Extraction of crude petroleum
B_610,B_61,Extraction of crude petroleum
B_62,B_6,Extraction of natural gas
B_620,B_62,Extraction of natural gas
B_7,B,Mining of metal ores
B_71,B_7,Mining of iron ores
B_710,B_71,Mining of iron ores
B_72,B_7,Mining of non-ferrous metal ores
B_721,B_72,Mining of uranium and thorium ores
B_729,B_72,Mining of other non-ferrous metal ores
B_8,B,Other mining and quarrying
B_81,B_8,Quarrying of stone; sand and clay
B_810,B_81,Quarrying of stone; sand and clay
B_89,B_8,Mining and quarrying n.e.c.
B_891,B_89,Mining of chemical and fertilizer minerals
B_892,B_89,Extraction of peat
B_893,B_89,Extraction of salt
B_899,B_89,Other mining and quarrying n.e.c.
B_9,B,Mining support service activities
B_91,B_9,Support activities for petroleum and natural gas extraction
B_910,B_91,Support activities for petroleum and natural gas extraction
B_99,B_9,Support activities for other mining and quarrying
B_990,B_99,Support activities for other mining and quarrying
C,root,Manufacturing
C_10,C,Manufacture of food products
C_101,C_10,Processing and preserving of meat
C_1010,C_101,Processing and preserving of meat
C_102,C_10,Processing and preserving of fish; crustaceans and molluscs
C_1020,C_102,Processing and preserving of fish; crustaceans and molluscs
C_103,C_10,Processing and preserving of fruit and vegetables
C_1030,C_103,Processing and preserving of fruit and vegetables
C_104,C_10,Manufacture of vegetable and animal oils and fats
C_1040,C_104,Manufacture of vegetable and animal oils and fats
C_105,C_10,Manufacture of dairy products
C_1050,C_105,Manufacture of dairy products
C_106,C_10,Manufacture of grain mill products; starches and starch products
C_1061,C_106,Manufacture of grain mill products
C_1062,C_106,Manufacture of starches and starch products
C_107,C_10,Manufacture of other food products
C_1071,C_107,Manufacture of bakery products
C_1072,C_107,Manufacture of sugar
C_1073,C_107,Manufacture of cocoa; chocolate and sugar confectionery
C_1074,C_107,Manufacture of macaroni; noodles; couscous and similar farinaceous products
C_1075,C_107,Manufacture of prepared meals and dishes
C_1079,C_107,Manufacture of other food products n.e.c.
C_108,C_10,Manufacture of prepared animal feeds
C_1080,C_108,Manufacture of prepared animal feeds
C_11,C,Manufacture of beverages
C_110,C_11,Manufacture of beverages
C_1101,C_110,Distilling; rectifying and blending of spirits
C_1102,C_110,Manufacture of wines
C_1103,C_110,Manufacture of malt liquors and malt
C_1104,C_110,Manufacture of soft drinks; production of mineral waters and other bottled waters
C_12,C,Manufacture of tobacco products
C_120,C_12,Manufacture of tobacco products
C_1200,C_120,Manufacture of tobacco products
C_13,C,Manufacture of textiles
C_131,C_13,Spinning; weaving and finishing of textiles
C_1311,C_131,Preparation and spinning of textile fibres
C_1312,C_131,Weaving of textiles
C_1313,C_131,Finishing of textiles
C_139,C_13,Manufacture of other textiles
C_1391,C_139,Manufacture of knitted and crocheted fabrics
C_1392,C_139,Manufacture of made-up textile articles; except apparel
C_1393,C_139,Manufacture of carpets and rugs
C_1394,C_139,Manufacture of cordage; rope; twine and netting
C_1399,C_139,Manufacture of other textiles n.e.c.
C_14,C,Manufacture of wearing apparel
C_141,C_14,Manufacture of wearing apparel; except fur apparel
C_1410,C_141,Manufacture of wearing apparel; except fur apparel
C_142,C_14,Manufacture of articles of fur
C_1420,C_142,Manufacture of articles of fur
C_143,C_14,Manufacture of knitted and crocheted apparel
C_1430,C_143,Manufacture of knitted and crocheted apparel
C_15,C,Manufacture of leather and related products
C_151,C_15,Tanning and dressing of leather; manufacture of luggage; handbags; saddlery and harness; dressing and dyeing of fur
C_1511,C_151,Tanning and dressing of leather; dressing and dyeing of fur
C_1512,C_151,Manufacture of luggage; handbags and the like; saddlery and harness
C_152,C_15,Manufacture of footwear
C_1520,C_152,Manufacture of footwear
C_16,C,Manufacture of wood and of products of wood and cork; except furniture; manufacture of articles of straw and plaiting materials
C_161,C_16,Sawmilling and planing of wood
C_1610,C_161,Sawmilling and planing of wood
C_162,C_16,Manufacture of products of wood; cork; straw and plaiting materials
C_1621,C_162,Manufacture of veneer sheets and wood-based panels
C_1622,C_162,Manufacture of builders' carpentry and joinery
C_1623,C_162,Manufacture of wooden containers
C_1629,C_162,Manufacture of other products of wood; manufacture of articles of cork; straw and plaiting materials
C_17,C,Manufacture of paper and paper products
C_170,C_17,Manufacture of paper and paper products
C_1701,C_170,Manufacture of pulp; paper and paperboard
C_1702,C_170,Manufacture of corrugated paper and paperboard and of containers of paper and paperboard
C_1709,C_170,Manufacture of other articles of paper and paperboard
C_18,C,Printing and reproduction of recorded media
C_181,C_18,Printing and service activities related to printing
C_1811,C_181,Printing
C_1812,C_181,Service activities related to printing
C_182,C_18,Reproduction of recorded media
C_1820,C_182,Reproduction of recorded media
C_19,C,Manufacture of coke and refined petroleum products
C_191,C_19,Manufacture of coke oven products
C_1910,C_191,Manufacture of coke oven products
C_192,C_19,Manufacture of refined petroleum products
C_1920,C_192,Manufacture of refined petroleum products
C_20,C,Manufacture of chemicals and chemical products
C_201,C_20,Manufacture of basic chemicals; fertilizers and nitrogen compounds; plastics and synthetic rubber in primary forms
C_2011,C_201,Manufacture of basic chemicals
C_2012,C_201,Manufacture of fertilizers and nitrogen compounds
C_2013,C_201,Manufacture of plastics and synthetic rubber in primary forms
C_202,C_20,Manufacture of other chemical products
C_2021,C_202,Manufacture of pesticides and other agrochemical products
C_2022,C_202,Manufacture of paints; varnishes and similar coatings; printing ink and mastics
C_2023,C_202,Manufacture of soap and detergents; cleaning and polishing preparations; perfumes and toilet preparations
C_2029,C_202,Manufacture of other chemical products n.e.c.
C_203,C_20,Manufacture of man-made fibres
C_2030,C_203,Manufacture of man-made fibres
C_21,C,Manufacture of basic pharmaceutical products and pharmaceutical preparations
C_210,C_21,Manufacture of pharmaceuticals; medicinal chemical and botanical products
C_2100,C_210,Manufacture of pharmaceuticals; medicinal chemical and botanical products
C_22,C,Manufacture of rubber and plastics products
C_221,C_22,Manufacture of rubber products
C_2211,C_221,Manufacture of rubber tyres and tubes; retreading and rebuilding of rubber tyres
C_2219,C_221,Manufacture of other rubber products
C_222,C_22,Manufacture of plastics products
C_2220,C_222,Manufacture of plastics products
C_23,C,Manufacture of other non-metallic mineral products
C_231,C_23,Manufacture of glass and glass products
C_2310,C_231,Manufacture of glass and glass products
C_239,C_23,Manufacture of non-metallic mineral products n.e.c.
C_2391,C_239,Manufacture of refractory products
C_2392,C_239,Manufacture of clay building materials
C_2393,C_239,Manufacture of other porcelain and ceramic products
C_2394,C_239,Manufacture of cement; lime and plaster
C_2395,C_239,Manufacture of articles of concrete; cement and plaster
C_2396,C_239,Cutting; shaping and finishing of stone
C_2399,C_239,Manufacture of other non-metallic mineral products n.e.c.
C_24,C,Manufacture of basic metals
C_241,C_24,Manufacture of basic iron and steel
C_2410,C_241,Manufacture of basic iron and steel
C_242,C_24,Manufacture of basic precious and other non-ferrous metals
C_2420,C_242,Manufacture of basic precious and other non-ferrous metals
C_243,C_24,Casting of metals
C_2431,C_243,Casting of iron and steel
C_2432,C_243,Casting of non-ferrous metals
C_25,C,Manufacture of fabricated metal products; except machinery and equipment
C_251,C_25,Manufacture of structural metal products; tanks; reservoirs and steam generators
C_2511,C_251,Manufacture of structural metal products
C_2512,C_251,Manufacture of tanks; reservoirs and containers of metal
C_2513,C_251,Manufacture of steam generators; except central heating hot water boilers
C_252,C_25,Manufacture of weapons and ammunition
C_2520,C_252,Manufacture of weapons and ammunition
C_259,C_25,Manufacture of other fabricated metal products; metalworking service activities
C_2591,C_259,Forging; pressing; stamping and roll-forming of metal; powder metallurgy
C_2592,C_259,Treatment and coating of metals; machining
C_2593,C_259,Manufacture of cutlery; hand tools and general hardware
C_2599,C_259,Manufacture of other fabricated metal products n.e.c.
C_26,C,Manufacture of computer; electronic and optical products
C_261,C_26,Manufacture of electronic components and boards
C_2610,C_261,Manufacture of electronic components and boards
C_262,C_26,Manufacture of computers and peripheral equipment
C_2620,C_262,Manufacture of computers and peripheral equipment
C_263,C_26,Manufacture of communication equipment
C_2630,C_263,Manufacture of communication equipment
C_264,C_26,Manufacture of consumer electronics
C_2640,C_264,Manufacture of consumer electronics
C_265,C_26,Manufacture of measuring; testing; navigating and control equipment; watches and clocks
C_2651,C_265,Manufacture of measuring; testing; navigating and control equipment
C_2652,C_265,Manufacture of watches and clocks
C_266,C_26,Manufacture of irradiation; electromedical and electrotherapeutic equipment
C_2660,C_266,Manufacture of irradiation; electromedical and electrotherapeutic equipment
C_267,C_26,Manufacture of optical instruments and photographic equipment
C_2670,C_267,Manufacture of optical instruments and photographic equipment
C_268,C_26,Manufacture of magnetic and optical media
C_2680,C_268,Manufacture of magnetic and optical media
C_27,C,Manufacture of electrical equipment
C_271,C_27,Manufacture of electric motors; generators; transformers and electricity distribution and control apparatus
C_2710,C_271,Manufacture of electric motors; generators; transformers and electricity distribution and control apparatus
C_272,C_27,Manufacture of batteries and accumulators
C_2720,C_272,Manufacture of batteries and accumulators
C_273,C_27,Manufacture of wiring and wiring devices
C_2731,C_273,Manufacture of fibre optic cables
C_2732,C_273,Manufacture of other electronic and electric wires and cables
C_2733,C_273,Manufacture of wiring devices
C_274,C_27,Manufacture of electric lighting equipment
C_2740,C_274,Manufacture of electric lighting equipment
C_275,C_27,Manufacture of domestic appliances
C_2750,C_275,Manufacture of domestic appliances
C_279,C_27,Manufacture of other electrical equipment
C_2790,C_279,Manufacture of other electrical equipment
C_28,C,Manufacture of machinery and equipment n.e.c.
C_281,C_28,Manufacture of general-purpose machinery
C_2811,C_281,Manufacture of engines and turbines; except aircraft; vehicle and cycle engines
C_2812,C_281,Manufacture of fluid power equipment
C_2813,C_281,Manufacture of other pumps; compressors; taps and valves
C_2814,C_281,Manufacture of bearings; gears; gearing and driving elements
C_2815,C_281,Manufacture of ovens; furnaces and furnace burners
C_2816,C_281,Manufacture of lifting and handling equipment
C_2817,C_281,Manufacture of office machinery and equipment (except computers and peripheral equipment)
C_2818,C_281,Manufacture of power-driven hand tools
C_2819,C_281,Manufacture of other general-purpose machinery
C_282,C_28,Manufacture of special-purpose machinery
C_2821,C_282,Manufacture of agricultural and forestry machinery
C_2822,C_282,Manufacture of metal-forming machinery and machine tools
C_2823,C_282,Manufacture of machinery for metallurgy
C_2824,C_282,Manufacture of machinery for mining; quarrying and construction
C_2825,C_282,Manufacture of machinery for food; beverage and tobacco processing
C_2826,C_282,Manufacture of machinery for textile; apparel and leather production
C_2829,C_282,Manufacture of other special-purpose machinery
C_29,C,Manufacture of motor vehicles; trailers and semi-trailers
C_291,C_29,Manufacture of motor vehicles
C_2910,C_291,Manufacture of motor vehicles
C_292,C_29,Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers
C_2920,C_292,Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers
C_293,C_29,Manufacture of parts and accessories for motor vehicles
C_2930,C_293,Manufacture of parts and accessories for motor vehicles
C_30,C,Manufacture of other transport equipment
C_301,C_30,Building of ships and boats
C_3011,C_301,Building of ships and floating structures
C_3012,C_301,Building of pleasure and sporting boats
C_302,C_30,Manufacture of railway locomotives and rolling stock
C_3020,C_302,Manufacture of railway locomotives and rolling stock
C_303,C_30,Manufacture of air and spacecraft and related machinery
C_3030,C_303,Manufacture of air and spacecraft and related machinery
C_304,C_30,Manufacture of military fighting vehicles
C_3040,C_304,Manufacture of military fighting vehicles
C_309,C_30,Manufacture of transport equipment n.e.c.
C_3091,C_309,Manufacture of motorcycles
C_3092,C_309,Manufacture of bicycles and invalid carriages
C_3099,C_309,Manufacture of other transport equipment n.e.c.
C_31,C,Manufacture of furniture
C_310,C_31,Manufacture of furniture
C_3100,C_310,Manufacture of furniture
C_32,C,Other manufacturing
C_321,C_32,Manufacture of jewellery; bijouterie and related articles
C_3211,C_321,Manufacture of jewellery and related articles
C_3212,C_321,Manufacture of imitation jewellery and related articles
C_322,C_32,Manufacture of musical instruments
C_3220,C_322,Manufacture of musical instruments
C_323,C_32,Manufacture of sports goods
C_3230,C_323,Manufacture of sports goods
C_324,C_32,Manufacture of games and toys
C_3240,C_324,Manufacture of games and toys
C_325,C_32,Manufacture of medical and dental instruments and supplies
C_3250,C_325,Manufacture of medical and dental instruments and supplies
C_329,C_32,Other manufacturing n.e.c.
C_3290,C_329,Other manufacturing n.e.c.
C_33,C,Repair and installation of machinery and equipment
C_331,C_33,Repair of fabricated metal products; machinery and equipment
C_3311,C_331,Repair of fabricated metal products
C_3312,C_331,Repair of machinery
C_3313,C_331,Repair of electronic and optical equipment
C_3314,C_331,Repair of electrical equipment
C_3315,C_331,Repair of transport equipment; except motor vehicles
C_3319,C_331,Repair of other equipment
C_332,C_33,Installation of industrial machinery and equipment
C_3320,C_332,Installation of industrial machinery and equipment
D,root,Electricity; gas; steam and air conditioning supply
D_35,D,Electricity; gas; steam and air conditioning supply
D_351,D_35,Electric power generation; transmission and distribution
D_3510,D_351,Electric power generation; transmission and distribution
D_352,D_35,Manufacture of gas; distribution of gaseous fuels through mains
D_3520,D_352,Manufacture of gas; distribution of gaseous fuels through mains
D_353,D_35,Steam and air conditioning supply
D_3530,D_353,Steam and air conditioning supply
E,root,Water supply; sewerage; waste management and remediation activities
E_36,E,Water collection; treatment and supply
E_360,E_36,Water collection; treatment and supply
E_3600,E_360,Water collection; treatment and supply
E_37,E,Sewerage
E_370,E_37,Sewerage
E_3700,E_370,Sewerage
E_38,E,Waste collection; treatment and disposal activities; materials recovery
E_381,E_38,Waste collection
E_3811,E_381,Collection of non-hazardous waste
E_3812,E_381,Collection of hazardous waste
E_382,E_38,Waste treatment and disposal
E_3821,E_382,Treatment and disposal of non-hazardous waste
E_3822,E_382,Treatment and disposal of hazardous waste
E_383,E_38,Materials recovery
E_3830,E_383,Materials recovery
E_39,E,Remediation activities and other waste management services
E_390,E_39,Remediation activities and other waste management services
E_3900,E_390,Remediation activities and other waste management services
F,root,Construction
F_41,F,Construction of buildings
F_410,F_41,Construction of buildings
F_4100,F_410,Construction of buildings
F_42,F,Civil engineering
F_421,F_42,Construction of roads and railways
F_4210,F_421,Construction of roads and railways
F_422,F_42,Construction of utility projects
F_4220,F_422,Construction of utility projects
F_429,F_42,Construction of other civil engineering projects
F_4290,F_429,Construction of other civil engineering projects
F_43,F,Specialized construction activities
F_431,F_43,Demolition and site preparation
F_4311,F_431,Demolition
F_4312,F_431,Site preparation
F_432,F_43,Electrical; plumbing and other construction installation activities
F_4321,F_432,Electrical installation
F_4322,F_432,Plumbing; heat and air-conditioning installation
F_4329,F_432,Other construction installation
F_433,F_43,Building completion and finishing
F_4330,F_433,Building completion and finishing
F_439,F_43,Other specialized construction activities
F_4390,F_439,Other specialized construction activities
G,root,Wholesale and retail trade; repair of motor vehicles and motorcycles
G_45,G,Wholesale and retail trade and repair of motor vehicles and motorcycles
G_451,G_45,Sale of motor vehicles
G_4510,G_451,Sale of motor vehicles
G_452,G_45,Maintenance and repair of motor vehicles
G_4520,G_452,Maintenance and repair of motor vehicles
G_453,G_45,Sale of motor vehicle parts and accessories
G_4530,G_453,Sale of motor vehicle parts and accessories
G_454,G_45,Sale; maintenance and repair of motorcycles and related parts and accessories
G_4540,G_454,Sale; maintenance and repair of motorcycles and related parts and accessories
G_46,G,Wholesale trade; except of motor vehicles and motorcycles
G_461,G_46,Wholesale on a fee or contract basis
G_4610,G_461,Wholesale on a fee or contract basis
G_462,G_46,Wholesale of agricultural raw materials and live animals
G_4620,G_462,Wholesale of agricultural raw materials and live animals
G_463,G_46,Wholesale of food; beverages and tobacco
G_4630,G_463,Wholesale of food; beverages and tobacco
G_464,G_46,Wholesale of household goods
G_4641,G_464,Wholesale of textiles; clothing and footwear
G_4649,G_464,Wholesale of other household goods
